Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"УЛ. АЛЕКСАНДРА МАТРОСОВА";"УЛ. АЛЕКСАНДРА МАТРОСОВА";"Лесной пр., ул. Александра Матросова";"59,98213556";"30,3429108";"Остановка";"1М,1МА"
"БОТКИНСКАЯ УЛ.";"БОТКИНСКАЯ УЛ.";"ул. Академика Лебедева, ул. Боткинская";"59,95868706";"30,3529987";"Остановка";"1М,86"
"БОТКИНСКАЯ УЛ., 25";"БОТКИНСКАЯ УЛ., 25";"ул. Боткинская, ул. доктора Короткова";"59,95930595";"30,3474178";"Остановка";"1МА,49"
"ВЕРЕЙСКАЯ УЛ.";"ВЕРЕЙСКАЯ УЛ.";"Загородный проспект, Верейская улица";"59,91858793";"30,3234825";"Остановка";"1М,1МБ,4М,4МБ,5М,5МБ"
"УЛ. ЧАЙКОВСКОГО";"УЛ. ЧАЙКОВСКОГО";"Литейный пр., ул. Чайковского";"59,94690527";"30,3486404";"Остановка";"1М"
"УЛ. ЧАЙКОВСКОГО";"УЛ. ЧАЙКОВСКОГО";"Литейный пр., ул. Чайковского";"59,94699763";"30,3488598";"Остановка";"1М,1МБ"
""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ"";""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ"";"ул. Кирочная, пр. Чернышевского";"59,94382319";"30,3578205";"Остановка";"1М"
""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ"";""СТ. МЕТРО "ЧЕРНЫШЕВСКАЯ"";"ул. Кирочная, пр. Чернышевского";"59,94399423";"30,3578014";"Остановка";"1М,1МБ"
"НЕВСКИЙ ПР.";"НЕВСКИЙ ПР.";"Литейный пр., Невский пр.";"59,93331596";"30,3478107";"Остановка";"1М,1МБ"
"РАЗЪЕЗЖАЯ УЛ.";"РАЗЪЕЗЖАЯ УЛ.";"Загородный пр., ул. Ломоносова";"59,92581756";"30,3411007";"Остановка";"1М,1МБ,4М,4МБ"
"ЗВЕНИГОРОДСКАЯ УЛ.";"ЗВЕНИГОРОДСКАЯ УЛ.";"Загородный пр., Джамбула пер.";"59,92408903";"30,3369827";"Остановка";"1М,1МБ,4М,4МБ"
