Наименование остановки;Официальное наименование;Расположение;Широта;Долгота;Тип объекта;Маршруты
"ОВЦИНО [476]";"ОВЦИНО";"";"59,81223478";"30,6083584";"Остановка";"476"
"ОГОРОДНЫЙ ПЕР. [2, 66]";"ОГОРОДНЫЙ ПЕР.";"Стачек пр., Огородный пер.";"59,88687121";"30,2678947";"Остановка";"1М,1МБ,2,66,73"
"ОЗЕРКОВАЯ УЛ. 51 [355]";"ОЗЕРКОВАЯ УЛ. 51";"Озерковая ул.";"59,87293505";"29,8905773";"Остановка";"355"
"ОКТЯБРЬСКАЯ НАБ.,102 [8, 119]";"ОКТЯБРЬСКАЯ НАБ.,102";"Октябрьская наб.";"59,86967809";"30,4826393";"Остановка";"4,8,119"
"ОКТЯБРЬСКАЯ НАБ.,110 [8, 119]";"ОКТЯБРЬСКАЯ НАБ.,106";"Октябрьская наб.";"59,86696258";"30,4861164";"Остановка";"4,8,119"
"ОКТЯБРЬСКАЯ НАБ.,78 [119, 476]";"ОКТЯБРЬСКАЯ НАБ.,78";"Октябрьская наб.";"59,87238996";"30,463522";"Остановка";"119,476"
"ОКТЯБРЬСКАЯ НАБ.,94 [119, 476]";"ОКТЯБРЬСКАЯ НАБ.,94";"Октябрьская наб.";"59,87103577";"30,4711819";"Остановка";"119,476"
"ОКТЯБРЬСКАЯ УЛ.,65";"ОКТЯБРЬСКАЯ УЛ.,65";"ул. Октябрьская, ул. Ремизова";"59,7401948";"30,6198826";"Остановка";"192,326,368,386"
"ОКТЯБРЬСКИЙ БУЛЬВАР [186]";"ОКТЯБРЬСКИЙ БУЛЬВАР";"Оранжерейная ул., Магазейная ул.";"59,72214414";"30,4116936";"Остановка";"186,188,370,376,378"
"ОЛЬХОВАЯ УЛ. [85]";"ОЛЬХОВАЯ УЛ.";"улица Маршала Новикова, Ольховая улица";"60,01527011";"30,2696056";"Остановка";"85,122,182"
"ОМСКАЯ УЛ. [98]";"ОМСКАЯ УЛ.";"Ланское ш., Омская ул.";"59,99454697";"30,3165131";"Остановка";"94,98"
"ОРАНЖЕРЕЙНАЯ УЛ.УГ.ЛЕНИНГРАДСКОЙ УЛ. [186]";"ОРАНЖЕРЕЙНАЯ УЛ.УГ.ЛЕНИНГРАДСКОЙ УЛ.";"Оранжерейная ул., Ленинградская ул.";"59,72639";"30,4170551";"Остановка";"186,370,376,378,383,545"
"ОРАНИЕНБАУМСКИЙ СПУСК [351]";"ОРАНИЕНБАУМСКИЙ СПУСК";"ул. Красных курсантов, Санкт-Петербургское ш.";"59,88863937";"29,87673";"Остановка";"351,353"
"ОРДИНАРНАЯ УЛ. [1]";"ОРДИНАРНАЯ УЛ.";"Большой пр. П.С., Ординарная ул.";"59,96442766";"30,3096752";"Остановка";"1,10,10А,25,128,191,191А"
"ОРЛОВСКИЙ ПРУД [200, 210, 359]";"ОРЛОВСКИЙ ПРУД";"Санкт-Петербургское ш.";"59,85136808";"30,0474472";"Остановка";"163,200,210,359"
"ОРТОПЕДИЧЕСКИЙ ЦЕНТР [103, 106, 123, 136, 102]";"ОРТОПЕДИЧЕСКИЙ ЦЕНТР";"Бестужевская ул., Маршала Блюхера пр.";"59,97765223";"30,4301605";"Остановка";"82,102,103,106,123,136,153,183"
"ОСИНОВАЯ РОЩА [435]";"ОСИНОВАЯ РОЩА";"A-122";"60,11164313";"30,2420864";"Остановка";"84,84-ШК"
"БОГАТЫРСКИЙ ПР. УГ. БАЙКОНУРСКОЙ УЛ. [127, 172]";"БОГАТЫРСКИЙ ПР. УГ. БАЙКОНУРСКОЙ УЛ. [127, 172]";"Богатырский пр., Байконурская ул.";"59,99887091";"30,2782116";"Остановка";"93,172"
"ПАРГОЛОВО,ТОРГОВЫЙ ЦЕНТР [435, 555]";"ПАРГОЛОВО,ТОРГОВЫЙ ЦЕНТР";"Выборгское ш., Полевая ул.";"60,08353133";"30,2638645";"Остановка";"75,104,109,109А,433,435,436,567"
"ПАРКОВАЯ УЛ. [186]";"ПАРКОВАЯ УЛ.";"Павловское ш., Парковая ул.";"59,71155641";"30,4109936";"Остановка";"186,370,373,376,381,382,545"
"ПАРТИЗАНСКАЯ УЛ. [123]";"ПАРТИЗАНСКАЯ УЛ.";"Энергетиков пр., Партизанская ул.";"59,94861551";"30,4359856";"Остановка";"82,123"
"ПАРУС 000 [200]";"ПАРУС 000";"";"59,90461027";"29,8136539";"Остановка";"348"
"ПЕНСИОННЫЙ ФОНД [12]";"ПЕНСИОННЫЙ ФОНД";"Бадаева ул.";"59,9195328";"30,4444408";"Остановка";"12"
"ПЕНСИОННЫЙ ФОНД [106, 107, 133]";"ПЕНСИОННЫЙ ФОНД";"Кондратьевский пр., Ватутина ул.";"59,96170963";"30,3780994";"Остановка";"28,37,106,107,133"
"ПЕРЕЕЗД [476]";"ПЕРЕЕЗД";"";"59,79858344";"30,6574345";"Остановка";"476"
"ПЕТЕРГОФСКОЕ ШОССЕ [229]";"ПЕТЕРГОФСКОЕ ШОССЕ";"Петергофское шоссе, 2-я Комсомольская улица";"59,84706261";"30,1446819";"Остановка";"229"
"ПЕТЕРГОФСКОЕ ШОССЕ,3(ПРЯМОЕ НАПР.) [2]";"ПЕТЕРГОФСКОЕ ШОССЕ, 3";"Доблести ул., Петергофское ш.";"59,84770761";"30,1756878";"Остановка";"2"
"САНКТ-ПЕТЕРБУРГСКОЕ ШОССЕ";"САНКТ-ПЕТЕРБУРГСКОЕ ШОССЕ";"Петергофское шоссе, Санкт-Петербургское шоссе";"59,85350517";"30,1007195";"Остановка";"163,200,210"
"ПЕТРОСЛАВЯНКА";"ПЕТРОСЛАВЯНКА";"";"59,7897246";"30,4944992";"Остановка";"326"
"ПИСКАРЁВСКОЕ МЕМОРИАЛЬНОЕ КЛАДБИЩЕ [123, 138, 178]";"ПИСКАРЁВСКОЕ МЕМОРИАЛЬНОЕ КЛАДБИЩЕ";"Непокоренных пр.";"59,99434545";"30,4189949";"Остановка";"80,123,138,178"
"ПЛАНЕРНАЯ УЛ. [154, 172]";"ПЛАНЕРНАЯ УЛ.";"Камышовая ул., Планерная ул.";"60,0076127";"30,2352333";"Остановка";"126,166,172"
"ПЛАНЕРНАЯ УЛ. УГ. КАМЫШОВОЙ УЛ. [134]";"ПЛАНЕРНАЯ УЛ. УГ. КАМЫШОВОЙ УЛ.";"Камышовая ул., Планерная ул.";"60,00724395";"30,2369785";"Остановка";"134А"
"ПЛОВДИВСКАЯ УЛ. [74]";"ПЛОВДИВСКАЯ УЛ.";"ул. Малая Балканская, ул. Пловдивская";"59,84007319";"30,3776283";"Остановка";"74,157"
"ПЛОЩАДЬ АВРОВА [351, 355, 356, 356Б]";"ПЛОЩАДЬ АВРОВА";"Аврова ул., Никольская ул.";"59,87447428";"29,9211941";"Остановка";"278,344,351,352,355,356,356Б,357А"
"ПЛОЩАДЬ БЕХТЕРЕВА";"ПЛОЩАДЬ БЕХТЕРЕВА";"Седова ул., пл. Бехтерева";"59,90053435";"30,4027367";"Остановка";"8"
"ПЛОЩАДЬ КАЛИНИНА";"ПЛ. КАЛИНИНА";"Кондратьевский пр., Васенко ул.";"59,97159604";"30,387682";"Остановка";"28,107,137"
"ПЛОЩАДЬ КОНСТИТУЦИИ [72, 114, 130]";"ПЛОЩАДЬ КОНСТИТУЦИИ";"Ленинский пр., Конституции пл.";"59,85175572";"30,3076839";"Остановка";"26,114,130,156"
"ПЛОЩАДЬ МУЖЕСТВА [40, 123]";"ПЛОЩАДЬ МУЖЕСТВА";"пр. Тореза, пл. Мужества";"60,00020282";"30,3627739";"Остановка";"40,80,123"
"ПЛОЩАДЬ ПОБЕДЫ [3, 11, 13, 13А, 39, 90, 187, Э, 39]";"ПЛОЩАДЬ ПОБЕДЫ";"Победы пл., Московское ш.";"59,842911";"30,323595";"Остановка";"3,11,13,13А,39,59,64,64А,90,155,156,187"
""СТ.М."НАРВСКАЯ"";""СТ.М."НАРВСКАЯ"";"Стачек пр., Старо-Петергофский пр.";"59,90071589";"30,2745342";"Остановка";"66"
"ПЛОЩАДЬ ТРУДА [6, 70, 71, 27, 3, 22]";"ПЛОЩАДЬ ТРУДА";"пл. Труда, Конногвардейский бул.";"59,93195057";"30,2915916";"Остановка";"3М,6,7А,10А,24А,135А,191А"
"ПОКЛОННАЯ ГОРА";"ПОКЛОННАЯ ГОРА";"Энгельса пр., Северный пр.";"60,03159976";"30,3199577";"Остановка";"2М,2МБ,85,86"
"ПОЛЕВАЯ УЛ. [20, 145, 165]";"ПОЛЕВАЯ УЛ.";"Таллинское ш.";"59,78590268";"30,1400204";"Остановка";"20,81,145,145А,165"
"ПОС. УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"ПОС. УСТЬ-ИЖОРА, ПОЛЕВАЯ УЛ.";"Петрозаводское шоссе, ул. Некрасова";"59,81635588";"30,5739994";"Остановка";"115,115А"
"ПОЛЕВАЯ-САБИРОВСКАЯ УЛ. [93, 172]";"ПОЛЕВАЯ-САБИРОВСКАЯ УЛ.";"Богатырский пр., Полевая Сабировская ул.";"59,99964274";"30,2687492";"Остановка";"93,172"
"ПОЛИКЛИНИКА [93]";"ПОЛИКЛИНИКА";"Школьная ул., Приморское ш.";"59,99208077";"30,2121334";"Остановка";"32,93,170"
"ПОЛИКЛИНИКА № 107 [27, 77, 92, 30]";"ПОЛИКЛИНИКА № 107";"ул. Коммуны, ул. Водопроводная";"59,95120123";"30,5000591";"Остановка";"23,27,30,37,77,92,124"
"ПОЛИКЛИНИКА № 96 [178]";"ПОЛИКЛИНИКА № 96";"Просвещения пр.";"60,04341282";"30,3802071";"Остановка";"60,121,139"
"ПОЛИКЛИНИКА № 99 [178]";"ПОЛИКЛИНИКА № 99";"Сиреневый бульвар, Есенина ул.";"60,05523529";"30,3455982";"Остановка";"69,178"
"ПОЛИТЕХНИЧЕСКИЙ ИНСТИТУТ [40]";"ПОЛИТЕХНИЧЕСКИЙ ИНСТИТУТ";"Гражданский пр.";"60,00399675";"30,388773";"Остановка";"40,6"
"ПОЛТАВСКАЯ УЛ. [24, 27]";"ПОЛТАВСКАЯ УЛ.";"Невский пр., ул. Полтавская";"59,92837426";"30,3722706";"Остановка";"3М,3МБ,4М,4МБ,24,24А,27,191,191А"
"ПОЛЮСТРОВСКИЙ ПР. УГОЛ ПИСКАРЁВСКОГО ПР. [133]";"ПОЛЮСТРОВСКИЙ ПР. УГОЛ ПИСКАРЁВСКОГО ПР.";"Полюстровский пр., Пискаревский пр.";"59,96335757";"30,4076099";"Остановка";"105"
"ПОС. ДЕТСКОСЕЛЬСКИЙ";"ПОС. ДЕТСКОСЕЛЬСКИЙ";"";"59,73007069";"30,4639683";"Остановка";"179,325,374,375,375А"
"ПОС. ПРОСВЕЩЕНИЯ";"ПОС. ПРОСВЕЩЕНИЯ";"Ораниенбаумское шоссе, Елизаветинская улица";"59,89429276";"29,8611603";"Остановка";"200,348,349"
"ПОС. ШУШАРЫ";"ПОС. ШУШАРЫ";"Витебский пр., Пушкинская ул.";"59,81310369";"30,3808212";"Остановка";"186,190,196"
""ПОС."КРАСНАЯ ЗАРЯ " [476]"";""ПОС."КРАСНАЯ ЗАРЯ "";"";"59,83703266";"30,5642662";"Остановка";"476"
"ПОСТ ГАИ [476]";"ПОСТ ГАИ";"";"59,78651449";"30,688509";"Остановка";"476"
"ПОТЕМКИНСКАЯ УЛ. [22]";"ПОТЕМКИНСКАЯ УЛ.";"Кирочная ул., Потемкинская ул.";"59,94393266";"30,3659248";"Остановка";"22,105"
"ПОЧТА";"ПОЧТА";"Дворцовый проспект, улица Ломоносова";"59,91520534";"29,7726994";"Остановка";"1Л,200,349"
"ПОЧТОВЫЙ ПЕР. [200, 210, 359]";"ПОЧТОВЫЙ ПЕР.";"Санкт-Петербургское ш.";"59,85146756";"30,0532894";"Остановка";"162,163,200,210,359"
"ПОЭТИЧЕСКИЙ БУЛЬВАР [143, 178]";"ПОЭТИЧЕСКИЙ БУЛЬВАР";"Художников пр., Поэтический бул.";"60,04349467";"30,3501415";"Остановка";"143,178"
"ПР. БОЛЬШЕВИКОВ,33 [140]";"ПР. БОЛЬШЕВИКОВ,33";"Большевиков пр.";"59,89503276";"30,4912243";"Остановка";"4,97,140"
"ПР. БОЛЬШЕВИКОВ,77 [8]";"ПР. БОЛЬШЕВИКОВ,77";"Большевиков пр.";"59,87474509";"30,4786739";"Остановка";"4,8"
"ПР. БУДЕННОГО [210, 200, 229]";"ПР. БУДЕННОГО";"Санкт-Петербургское ш.";"59,85268877";"30,0891933";"Остановка";"162,163,200,210,359"
"ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА [229, 359]";"ПР. БУДЕННОГО,ТРАМВАЙНАЯ ОСТАНОВКА";"Санкт-Петербургское ш.";"59,850706";"30,0904331";"Остановка";"229,359"
"ПР. ВЕТЕРАНОВ [165]";"ПР. ВЕТЕРАНОВ";"ул. Тамбасова, Ветеранов пр.";"59,83503867";"30,1566372";"Остановка";"165"
"ПР. ВЕТЕРАНОВ [484, 487, 229, 482, 482а, 482в, 484б]";"ПР. ВЕТЕРАНОВ";"проспект Маршала Жукова, проспект Ветеранов";"59,832413";"30,1936207";"Остановка";"20,481,487"
"ПР. ВЕТЕРАНОВ [2, 20, 229]";"ПР. ВЕТЕРАНОВ";"ул. Партизана Германа, Ветеранов пр.";"59,83360401";"30,1757755";"Остановка";"2,2А,87,162,165"
"ПР. ВЕТЕРАНОВ,95 [130]";"ПР. ВЕТЕРАНОВ,95";"Ветеранов пр.";"59,83333973";"30,2119389";"Остановка";"1М,1МБ,68,130"
"ПР. ВЕТЕРАНОВ,УГ. УЛ. ПАРТИЗАНА ГЕРМАНА [165]";"ПР. ВЕТЕРАНОВ,УГ. УЛ. ПАРТИЗАНА ГЕРМАНА";"проспект Ветеранов, улица Партизана Германа";"59,83295188";"30,1765404";"Остановка";"165"
"ПР. ВЕТЕРАНОВ,УГ. УЛ. ПОГР. ГАРЬКАВОГО [130]";"ПР. ВЕТЕРАНОВ,УГ. УЛ. ПОГР. ГАРЬКАВОГО";"Ветеранов пр., Пограничника Гарькавого ул.";"59,83529264";"30,1478138";"Остановка";"130"
"ПР. ЕЛИЗАРОВА [8]";"ПР. ЕЛИЗАРОВА";"Седова ул., Ольминского ул.";"59,89406321";"30,4136677";"Остановка";"8"
"ПР. ИСПЫТАТЕЛЕЙ,УГ. СЕРЕБРИСТОГО БУЛЬВАРА [127]";"ПР. ИСПЫТАТЕЛЕЙ,УГ. СЕРЕБРИСТОГО БУЛЬВАРА";"Испытателей пр., Серебристый бул.";"60,0048948";"30,2818871";"Остановка";"122,127,171"
"ПР. ИСПЫТАТЕЛЕЙ,УНИВЕРСАМ [127]";"ПР. ИСПЫТАТЕЛЕЙ,УНИВЕРСАМ";"Испытателей пр.";"60,00389431";"30,2893562";"Остановка";"122,127,171"
"ПР. КОРОЛЕВА [9, 127, 172]";"ПР. КОРОЛЕВА";"Коломяжский пр., Королева пр.";"60,0099241";"30,2958126";"Остановка";"9,38,127,134А,171,172"
"ПР. КОРОЛЕВА,ПОЛИКЛИНИКА [134]";"ПР. КОРОЛЕВА,ПОЛИКЛИНИКА";"проспект Королёва";"60,01019381";"30,2899532";"Остановка";"38,79,134Б,170"
"ПР. КОРОЛЕВА,УГ. КОЛОМЯЖСКОГО ПР. [134]";"ПР. КОРОЛЕВА,УГ. КОЛОМЯЖСКОГО ПР.";"проспект Королёва, Коломяжский проспект";"60,00957928";"30,2947578";"Остановка";"38,79,134Б,170"
"ТУЛЬСКАЯ УЛ. [74]";"ТУЛЬСКАЯ УЛ.";"Суворовский пр., Тульская ул.";"59,94414475";"30,3863335";"Остановка";"46,54,74"
"ТУРИСТСКАЯ УЛ. ПО ПРИМОРСКОМУ ПР. [134]";"ТУРИСТСКАЯ УЛ. ПО ПРИМОРСКОМУ ПР.";"Приморский пр., Туристская ул.";"59,98474258";"30,2000599";"Остановка";"134А,134Б"
"УДЕЛЬНЫЙ ПАРК [93, 9]";"УДЕЛЬНЫЙ ПАРК";"Богатырский пр., Испытателей пр.";"60,00154491";"30,310173";"Остановка";"2М,2МБ,9,93"
"УЛ. АВАНГАРДНАЯ [229]";"УЛ. АВАНГАРДНАЯ";"проспект Ветеранов, Авангардная улица";"59,83291069";"30,1835995";"Остановка";"229"
"УЛ. АВРОВА [210, 359, 200]";"УЛ. АВРОВА";"Аврова ул., Санкт-Петербургское ш.";"59,8774634";"29,9227962";"Остановка";"278,344,352,356Б,357А"
"УЛ. АКАДЕМИКА БАЙКОВА [69, 98, 143]";"УЛ. АКАДЕМИКА БАЙКОВА";"Светлановский пр., Академика Байкова ул.";"60,02509616";"30,3834248";"Остановка";"69,98"
"УЛ. АКАДЕМИКА ПАВЛОВА [1, 46А]";"УЛ. АКАДЕМИКА ПАВЛОВА";"Каменноостровский пр., Академика Павлова ул.";"59,97591956";"30,3030529";"Остановка";"1,2М,2МБ,5М,5МА,46,46А"
"УЛ. АККУРАТОВА УГ. АФОНСКОЙ УЛ. [40]";"УЛ. АККУРАТОВА УГ. АФОНСКОЙ УЛ.";"Афонская ул., Аккуратова ул.";"60,01608934";"30,3050575";"Остановка";"40,44,45"
"УЛ. АЛ. МАТРОСОВА [86]";"УЛ. АЛ. МАТРОСОВА";"Большой Сампсониевский пр., Александра Матросова ул.";"59,98002041";"30,3371811";"Остановка";"86"
"УЛ. АНТОНОВА - ОВСЕЕНКО [118, 140, 12]";"УЛ. АНТОНОВА - ОВСЕЕНКО";"Искровский пр., Антонова-Овсеенко ул.";"59,90729874";"30,4651089";"Остановка";"12,118,118А"
"УЛ. АСАФЬЕВА [86, 123]";"УЛ. АСАФЬЕВА";"Композиторов ул., Асафьева ул.";"60,04730751";"30,3184929";"Остановка";"80,86,123"
"УЛ. БАБУШКИНА [8, 12, 140]";"УЛ. БАБУШКИНА";"Ивановская ул., Бабушкина ул.";"59,87531071";"30,4434032";"Остановка";"12"
"УЛ. БАБУШКИНА,133 [48]";"УЛ. БАБУШКИНА,133";"Бабушкина ул., Рабфаковская ул.";"59,8596824";"30,4736347";"Остановка";"48"
"УЛ. БАБУШКИНА,УГ. БУЛЬВАРА КРАСНЫХ ЗОРЬ [95]";"УЛ. БАБУШКИНА,УГ. БУЛЬВАРА КРАСНЫХ ЗОРЬ";"Бабушкина ул., Красных Зорь бул.";"59,87405262";"30,4464226";"Остановка";"95"
"УЛ. БАБУШКИНА,УГ. УЛ. КРУПСКОЙ [116]";"УЛ. БАБУШКИНА,УГ. УЛ. КРУПСКОЙ";"Крупской ул., Бабушкина ул.";"59,88987292";"30,429821";"Остановка";"116"
